"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","127","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","77","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","77","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","1038","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/Presents/MagieMaterial.MagieMaterial","0","0","24","1","0.000000","0","0"
"/Game/OwnCharacters/Weihnachtsmann/Material__47.Material__47","0","0","33","1","0.000000","0","0"
"/Game/OwnCharacters/Weihnachtsmann/Material__43.Material__43","0","0","24","1","0.000000","0","0"
"/Game/OwnCharacters/Weihnachtsmann/Material__30.Material__30","0","0","24","1","0.000000","0","0"
"/Game/OwnCharacters/Weihnachtsmann/Material__29.Material__29","0","0","24","1","0.000000","0","0"
"/Game/Presents/present_material_2.present_material_2","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","0","21","1","0.000000","0","0"
"/Game/Environment/Materials/FensterMaterial.FensterMaterial","0","0","21","1","0.000000","0","0"
"/Game/Presents/_defaultMat._defaultMat","0","0","21","1","0.000000","0","0"
"/Game/Environment/Kenney/Materials/trainGrey.trainGrey","0","0","12","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","0","42","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","0","0","21","1","0.000000","0","0"
"/Game/Presents/doorMaterial.doorMaterial","0","0","21","1","0.000000","0","0"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","0","156","2","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/Videos/NewMediaPlayer_Video_Mat.NewMediaPlayer_Video_Mat","0","0","9","1","0.000000","0","0"
"/Game/Environment/snow.snow","0","46","21","1","102.942085","0","243"
"/Game/Environment/Materials/Reihenhaus/RosaHaus.RosaHaus","0","0","21","1","0.000000","0","0"
"/Game/Environment/Kenney/Materials/glowingWhite.glowingWhite","0","0","21","1","0.000000","0","0"
"/Game/Environment/trainGrey.trainGrey","0","0","21","1","0.000000","0","0"
"/Game/Environment/_defaultMat._defaultMat","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","0","21","1","0.000000","0","0"
"/Game/OwnCharacters/Engel/Material__51.Material__51","0","0","24","1","0.000000","0","0"
"/Game/OwnCharacters/Engel/Material__146.Material__146","0","0","24","1","0.000000","0","0"
"/Game/OwnCharacters/Engel/Material__145.Material__145","0","0","24","1","0.000000","0","0"
"/Game/OwnCharacters/Engel/Material__143.Material__143","0","0","24","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","21","1","0.000000","0","0"
"/Game/Environment/Statue/Material__143.Material__143","0","0","40","1","0.000000","0","0"
"/Game/Environment/Statue/NewMaterial.NewMaterial","0","0","21","1","0.000000","0","0"
"/Game/Environment/Materials/Wege/Wege.Wege","0","0","21","1","0.000000","0","0"
"/Game/Environment/Materials/Stadtmauer/Stadtmauer.Stadtmauer","0","0","21","1","0.000000","0","0"
"/Game/Environment/Materials/Schnee/M_Snow_Particles.M_Snow_Particles","0","0","84","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","21","1","0.000000","0","0"
"/Game/Environment/M_Glass_Glow.M_Glass_Glow","0","0","40","1","0.000000","0","0"
"/Game/Presents/M_itemPresent.M_itemPresent","0","0","12","1","0.000000","0","0"
"/Game/Environment/Kenney/Materials/GlowingYellow.GlowingYellow","0","0","21","1","0.000000","0","0"
"/Game/Environment/Kenney/Materials/white.white","0","0","21","1","0.000000","0","0"
"/Game/Environment/Kenney/Materials/ribbon.ribbon","0","0","12","1","0.000000","0","0"
"/Game/Environment/snowman1_001.snowman1_001","0","0","21","1","0.000000","0","0"
"/Game/Environment/Sled01New1.Sled01New1","0","0","12","1","0.000000","0","0"
"/Game/Environment/Materials/Reihenhaus/Gr?nesHaus.Gr?nesHaus","0","0","21","1","0.000000","0","0"
"/Game/Environment/Materials/Kamin.Kamin","0","0","21","1","0.000000","0","0"
"/Game/Environment/Materials/Reihenhaus/wei?eRahmen.wei?eRahmen","0","0","21","1","0.000000","0","0"
"/Game/Environment/Materials/Reihenhaus/BlauesHaus.BlauesHaus","0","0","21","1","0.000000","0","0"
"/Game/Environment/Materials/DACH.DACH","0","0","21","1","0.000000","0","0"
"/Game/Environment/Materials/Reihenhaus/GrauesDetail.GrauesDetail","0","0","21","1","0.000000","0","0"
"/Game/Environment/M_Statue_glow.M_Statue_glow","0","0","40","1","0.000000","0","0"
"/Game/Environment/lightRed.lightRed","0","0","21","1","0.000000","0","0"
"/Game/Environment/lightGreen.lightGreen","0","0","21","1","0.000000","0","0"
"/Game/Environment/Material__2.Material__2","0","0","21","1","0.000000","0","0"
"/Game/Environment/leaves.leaves","0","0","21","1","0.000000","0","0"
"/Game/Environment/Materials/KlinkerMauer1.KlinkerMauer1","0","0","21","1","0.000000","0","0"
"/Game/Environment/Materials/Haus1/wei?eWand.wei?eWand","0","0","21","1","0.000000","0","0"
"/Game/Environment/Materials/Haus1/schwarzerRahmen.schwarzerRahmen","0","0","21","1","0.000000","0","0"
"/Game/Environment/Materials/wood1.wood1","0","0","21","1","0.000000","0","0"
"/Game/Environment/ribbon.ribbon","0","0","21","1","0.000000","0","0"
"/Game/Environment/water.water","0","0","21","1","0.000000","0","0"
"/Game/Environment/wood.wood","0","0","21","1","0.000000","0","0"
"/Game/Environment/gold.gold","0","0","21","1","0.000000","0","0"
"/Game/Environment/Materials/Wood.Wood","0","0","21","1","0.000000","0","0"
"/Game/Environment/Materials/KlinkerMauer.KlinkerMauer","0","0","21","1","0.000000","0","0"
"/Game/Environment/Bridge_FloorWood_c.Bridge_FloorWood_c","0","0","21","1","0.000000","0","0"
"/Game/Environment/Kenney/Materials/lightpostGlow.lightpostGlow","0","0","12","1","0.000000","0","0"
